id,name,synonyms,category,kcal,fat,protein
862,Birnenweggen,,Süssigkeiten/Sonstige süsse Backwaren,358,10.4,5
579,Blanc battu,,Milch und Milchprodukte/Frischkäse und Quark,43,0.1,7.6
604,Blanc battu mit Früchten light,,Milch und Milchprodukte/Frischkäse und Quark,68,0.2,8
904,"Blätterteig hausgemacht (Butter), ungebacken",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige",364,24.7,5.2
905,"Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige",358,24.1,5.2
849,"Blätterteigpastetli, Butter",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte",564,40.5,5.8
928,Blätterteigstängel,Flûtes,Salzige Snacks/Blätterteiggebäcke,497,33.6,7.2
1165,"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),23,0.3,1.6
1166,"Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett)",,Gemüse/Gemüse gekocht (inkl. Konserven),25,0.3,1.7
1164,"Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett)",,Gemüse/Gemüse gekocht (inkl. Konserven),24,0.3,1.6
1127,"Blattsalat (Durchschnitt), roh ",,Gemüse/Gemüse frisch,18,0.3,1.6
1191,Blauschimmelkäse (Durchschnitt),,Milch und Milchprodukte/Hartkäse,361,31.5,19.1
1004,"Blumenkohl, gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),27,0.3,2.5
350,"Blumenkohl, roh",,Gemüse/Gemüse frisch,26,0.3,2.4
778,Blutwurst,,Fleisch- und Wurstwaren/Kochwurstware,151,10.8,10.7
13388,"Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz)",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte",114,0.6,7.8
13387,"Bohne (alle Arten), getrocknet",Weisse Bohne;Rote Bohne;Borlotti Bohne,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte",305,1.5,20.9
1009,"Bohne, grün, gedämpft (ohne Zugabe von Salz)",Gartenbohne,Gemüse/Gemüse gekocht (inkl. Konserven),34,0.2,2.3
473,"Bohne, grün, getrocknet",Dörrbohne,Gemüse/Gemüse getrocknet,252,2,20.2
353,"Bohne, grün, roh",Gartenbohne,Gemüse/Gemüse frisch,31,0.2,2.1
653,Bolognaisesauce,Tomaten-Hackfleischsauce,Verschiedenes/Saucen,96,4,6.3
668,"Bouillon, Fleisch, zubereitet",Klare Brühe,Gerichte/Eintöpfe und Suppen,5,0.3,0.3
665,"Bouillon, Geflügel, zubereitet",Klare Brühe,Gerichte/Eintöpfe und Suppen,5,0.3,0.3
664,"Bouillon, Gemüse, zubereitet",Klare Brühe,Gerichte/Eintöpfe und Suppen,6,0.4,0.3
642,Branchli (Milchschokolade mit Haselnusscrèmefüllung),Schokoladenstängeli,Süssigkeiten/Schokolade und Kakaoerzeugnisse,557,36,7.6
518,Branntwein aus Getreide (z.B. Whisky),Getreideschnaps,Alkoholhaltige Getränke/Spirituosen,252,0,0
519,Branntwein aus Wein (z.B.Cognac),,Alkoholhaltige Getränke/Spirituosen,240,0,0
520,Branntwein aus Zuckerrohr (z.B. Rum),Zuckerrohrschnaps,Alkoholhaltige Getränke/Spirituosen,234,0,0
50,Bratbutter,,Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter,885,98.3,0.1
650,"Bratensauce, gebunden",,Verschiedenes/Saucen,53,3,1.6
651,"Bratensauce, klar",,Verschiedenes/Saucen,44,2.5,1.5
705,Bresaola,,Fleisch- und Wurstwaren/Rohwurstware,166,3.9,32.4
10051,"Brie, halbfett",,Milch und Milchprodukte/Weichkäse,200,11.5,24
616,"Brie, Rahm",,Milch und Milchprodukte/Weichkäse,335,30,16
613,"Brie, vollfett",,Milch und Milchprodukte/Weichkäse,300,23.5,21.8
1005,"Broccoli, gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),30,0.4,2.9
351,"Broccoli, roh",,Gemüse/Gemüse frisch,31,0.4,3
383,"Brombeere, roh",,Früchte/Früchte frisch,44,0.4,1
1594,"Brombeerkuchen, gebacken (mit Blätterteig)",Brombeerwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",135,7,2.8
1596,"Brombeerkuchen, gebacken (mit Kuchenteig)",Brombeerwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",126,4.9,3.2
1485,"Brombeerkuchen, gebacken (mit süssem Mürbeteig)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",199,11.3,3.2
10446,Brot (Durchschnitt),,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",265,4.7,9.2
1112,Brühwürste geräuchert (Durchschnitt),,Fleisch- und Wurstwaren/Brühwurstware,263,22.7,14.3
1113,Brühwürste ungeräuchert (Durchschnitt),,Fleisch- und Wurstwaren/Brühwurstware,256,22.2,13.2
371,"Brunnenkresse, roh",,Gemüse/Gemüse frisch,17,0.2,2.2
864,Brunsli,,Süssigkeiten/Guetzli,493,28.9,12.7
421,"Buchweizen, Korn geschält",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte",343,1.7,9.1
420,Buchweizenmehl,,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke",344,2.8,12
669,Bündner Gerstensuppe,,Gerichte/Eintöpfe und Suppen,42,0.9,1.4
842,Bürli (halbweiss),,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",216,1,8.6
836,"Buttergipfeli, hell",,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",432,24.2,8.8
834,"Buttergipfeli, Vollkorn",Rusticogipfeli,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",366,19.8,6.4
529,Buttermilch,,Milch und Milchprodukte/Milch- und Joghurtgetränke,33,0.5,3.2
822,Butterweggli,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",310,8.7,9.4
820,Butterzopf,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",326,11.4,9
1460,"Butterzopf, Vollkorn",,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",272,6.4,9.4
1188,"Café crème, ungezuckert",,Alkoholfreie Getränke/Kaffee,14,1.1,0.3
877,Cake Financier,,"Süssigkeiten/Kuchen, Torten und Cake",426,25.5,9.8
10486,Calimocho (Rotwein mit Cola),,Alkoholfreie Getränke/Süssgetränke;Alkoholhaltige Getränke/Sonstige alkoholische Getränke,58,0,0
622,"Camembert, halbfett",,Milch und Milchprodukte/Weichkäse,178,10,22
619,"Camembert, Rahm",,Milch und Milchprodukte/Weichkäse,352,31.7,16.4
614,"Camembert, vollfett",,Milch und Milchprodukte/Weichkäse,299,23.7,21.2
1644,"Cannelloni mit Fleischfüllung, zubereitet",,Gerichte/Italienische Gerichte,193,9.9,10.4
1646,"Cannelloni mit Spinat-Ricotta-Füllung, zubereitet",,Gerichte/Italienische Gerichte,222,13.7,8.7
1121,"Cappuccino (ohne Schokoladenpulver), ungezuckert",,Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee,37,2.2,1.8
1692,"Capuns, zubereitet",Mangoldwickel,Gerichte/Sonstige salzige/rezente Gerichte,168,10.4,8.1
